id,name,description,menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
1,Oysters Rockefeller,Fresh oysters baked with spinach & herbs,3,8,1899-12-31,1920-11-25,0.75,2.5
2,Lobster Thermidor,Lobster in creamy cognac sauce,4,12,1899-12-31,1920-11-25,3.25,8.75
3,Beef Wellington,Tenderloin wrapped in puff pastry,2,6,1905-06-15,1915-04-10,2.5,5.0
4,Consommé Célestine,Clear soup with herb pancake strips,5,15,1899-12-31,1920-11-25,0.5,1.25
5,Canvasback Duck,Roasted wild duck with orange glaze,3,9,1899-12-31,1915-04-10,2.75,4.5
6,Terrapin Stew,Maryland terrapin in sherry cream,2,4,1905-06-15,1910-03-20,4.0,6.25
7,Sweetbreads À La Financière,Veal sweetbreads in rich sauce,4,11,1899-12-31,1920-11-25,1.75,3.5
8,Green Turtle Soup,Traditional turtle soup with sherry,3,7,1899-12-31,1915-04-10,1.0,2.25
9,Filet De Sole Marguery,Dover sole with oysters & shrimp,2,5,1910-03-20,1920-11-25,2.25,4.75
10,Poulet À La King,Diced chicken in cream sauce,4,13,1905-06-15,1920-11-25,1.5,3.25
11,Roman Punch,Lemon sorbet with rum,5,18,1899-12-31,1920-11-25,0.25,0.75
12,Charlotte Russe,Molded dessert with ladyfingers,3,9,1905-06-15,1920-11-25,0.5,1.5
13,Peach Melba,Peaches with vanilla ice cream,2,6,1910-03-20,1920-11-25,0.75,1.75
14,Baked Alaska,Ice cream cake with meringue,3,8,1905-06-15,1920-11-25,1.25,2.75
15,Café Brûlot,Flaming coffee with spices,4,14,1899-12-31,1920-11-25,0.35,0.85
16,Blue Point Oysters,Raw oysters on half shell,4,16,1899-12-31,1920-11-25,0.6,1.8
17,Pâté De Foie Gras,Goose liver pâté with truffles,2,4,1910-03-20,1920-11-25,3.5,7.0
18,Squab En Casserole,Young pigeon braised with vegetables,3,7,1905-06-15,1920-11-25,2.0,4.25
19,Asparagus Hollandaise,Fresh asparagus with butter sauce,5,12,1899-12-31,1920-11-25,0.85,2.1
20,Strawberries Romanoff,Strawberries with cream & liqueur,2,5,1915-04-10,1920-11-25,1.0,2.5
99,Unknown Dish (id: 99),,1,1,1900-01-01,1900-01-01,,
